Model,Accuracy,Precision Macro,Recall Macro,F1 Macro,Precision Weighted,Recall Weighted,F1 Weighted,Roc Auc Macro,Pr Auc Macro,Precision Hate Speech,Recall Hate Speech,F1 Hate Speech
BERT-Base,0.8997,0.7463,0.7489,0.7475,0.9012,0.8997,0.9004,0.9188,0.7424,0.4204,0.4439,0.4318
HateBERT,0.8940,0.7304,0.7564,0.7411,0.9039,0.8940,0.8985,0.9347,0.7713,0.3574,0.4626,0.4033
RoBERTa-Base,0.8817,0.7105,0.7600,0.7303,0.8987,0.8817,0.8890,0.9233,0.7500,0.3280,0.4766,0.3886
